failure,error_count,task_hour,day_of_month,day_of_week,robot_id_length,software_version_length,product_code_type,error_severity,hourly_error_rate
0,12,16,16,2,15,31,5,13,1
0,11,15,31,2,15,23,2,13,0
0,14,9,2,4,15,32,1,13,1
0,13,6,31,3,15,27,4,13,0
1,10,12,2,5,15,22,2,10,0
0,13,1,26,3,15,26,5,13,0
0,13,13,14,2,15,27,4,13,0
0,13,12,2,5,15,22,2,13,0
0,14,6,8,0,15,26,2,12,1
0,13,13,15,2,15,23,1,12,0
0,13,15,1,1,15,24,2,12,1
0,13,22,14,0,15,31,2,13,1
0,13,14,30,3,15,17,5,12,0
1,17,20,3,6,15,29,1,18,1
0,11,19,20,4,15,26,4,14,0
0,13,4,1,4,15,26,2,13,0
0,13,15,24,5,15,9,5,13,0
0,13,17,11,0,15,17,3,13,0
0,14,0,1,5,15,22,1,13,1
0,13,5,1,2,15,31,2,12,1
0,14,6,22,1,15,32,1,14,0
0,10,17,31,4,15,20,3,13,0
0,13,11,19,3,15,27,4,13,0
0,11,17,22,3,15,27,1,12,0
0,13,16,28,3,15,22,2,13,0
0,13,16,14,1,15,21,1,12,0
0,14,8,9,1,15,32,1,14,0
0,13,8,24,3,15,27,4,13,0
1,17,12,7,2,15,31,2,17,1
0,11,2,11,4,15,16,4,12,0
0,14,5,15,1,15,16,1,12,0
0,13,9,30,4,15,27,4,13,0
0,10,13,17,3,15,19,2,12,0
0,14,7,11,0,15,31,2,13,1
0,12,7,11,3,15,19,2,13,0
0,13,15,6,1,15,27,4,13,0
0,13,4,25,0,15,26,5,13,0
0,14,1,27,6,15,13,4,14,0
0,14,12,11,1,15,32,1,14,0
0,13,22,6,1,15,27,4,13,0
0,14,13,9,4,15,23,3,12,0
0,13,13,29,3,15,27,4,13,0
1,19,14,26,4,15,13,2,19,1
0,14,17,7,2,15,18,4,12,1
0,10,12,8,1,15,23,1,11,0
0,11,14,25,1,15,29,4,13,0
0,13,4,4,3,15,22,2,13,0
0,13,20,7,5,15,22,2,13,0
0,14,8,15,0,15,20,2,12,1
0,14,12,9,4,15,26,3,12,0
0,14,14,25,1,15,32,4,14,0
0,11,21,1,3,15,32,3,12,0
0,13,13,7,1,15,24,4,13,0
0,11,12,22,3,15,9,4,13,1
0,11,18,14,3,15,20,4,12,0
0,10,6,22,3,15,20,3,12,0
0,12,6,19,2,15,11,4,11,1
0,11,16,25,5,15,23,1,12,0
0,14,7,29,2,15,20,3,12,1
0,12,0,21,3,15,32,3,12,0
0,12,9,14,2,15,32,1,12,1
0,12,5,6,2,15,25,1,13,1
0,13,9,17,3,15,26,5,13,0
0,13,11,28,3,15,27,4,13,0
0,11,9,1,3,15,32,2,13,0
0,10,3,25,4,15,22,3,13,1
0,13,17,12,5,15,22,2,13,0
0,12,17,6,4,15,25,2,14,0
0,11,16,9,2,15,27,1,11,0
0,13,18,4,3,15,22,2,13,0
0,12,5,1,3,15,21,3,12,1
0,13,8,13,6,15,27,4,13,0
0,13,12,17,0,15,26,4,12,0
0,12,15,16,2,15,22,3,13,1
0,12,20,7,5,15,17,3,11,0
0,13,16,7,3,15,19,3,13,0
0,11,15,5,2,15,20,5,13,1
0,14,15,16,1,15,22,1,14,0
0,13,13,9,5,15,27,4,13,0
0,13,2,19,4,15,22,3,11,0
1,19,13,23,3,15,27,4,17,1
0,10,14,22,2,15,30,2,12,1
0,12,9,12,2,15,15,5,12,0
0,13,12,27,1,15,27,4,13,0
0,11,9,28,5,15,21,2,12,0
1,20,18,29,3,15,32,5,19,1
1,19,11,10,1,15,20,4,19,1
0,13,16,30,0,15,20,5,13,0
0,13,13,16,4,15,27,4,13,0
0,13,11,25,2,15,27,4,13,0
0,13,17,21,2,15,23,3,12,0
0,12,18,1,5,15,22,1,11,0
0,12,8,1,1,15,29,3,11,0
0,13,16,23,2,15,15,2,13,0
0,13,8,19,3,15,27,4,13,0
1,18,12,1,0,15,18,5,19,0
0,13,15,5,3,15,27,4,13,0
1,17,12,9,4,15,24,4,19,1
0,13,21,1,3,15,25,4,13,1
0,14,10,17,0,15,25,3,13,0
0,14,8,4,1,15,21,3,12,0
0,13,21,29,4,15,22,2,13,0
0,11,12,2,2,15,28,1,12,0
0,13,10,1,4,15,22,2,13,0
0,13,11,5,0,15,27,4,13,0
0,12,13,14,1,15,16,1,12,0
1,17,11,8,1,15,32,2,19,1
0,13,22,25,2,15,27,4,13,0
0,12,9,4,2,15,16,2,12,0
0,12,18,26,1,15,24,3,12,0
0,13,8,5,5,15,27,4,13,0
0,12,18,13,3,15,28,3,13,1
0,13,11,9,1,15,22,2,13,0
0,14,11,25,1,15,32,1,14,0
0,13,6,16,5,15,18,2,12,1
0,10,14,19,4,15,15,1,11,0
0,13,0,1,3,15,30,4,13,0
0,13,7,1,4,15,21,3,12,0
0,13,16,22,4,15,27,4,13,0
0,13,9,24,3,15,27,4,13,0
0,12,6,14,2,15,24,3,12,0
1,20,19,18,3,15,28,2,18,0
1,17,9,20,2,15,31,4,18,1
0,12,18,25,1,15,21,4,13,1
0,11,17,12,6,15,29,1,11,0
0,15,8,16,1,15,29,3,12,0
0,12,9,28,5,15,28,3,13,0
0,14,13,11,6,15,16,2,11,0
0,12,6,12,0,15,32,3,13,0
0,13,12,9,3,15,23,4,11,0
0,13,15,19,3,15,27,4,13,0
0,11,19,3,2,15,16,3,13,0
0,15,7,2,4,15,24,2,11,1
0,13,11,3,2,15,32,5,13,1
0,14,15,28,6,15,22,4,10,1
0,14,14,13,4,15,32,1,14,0
0,13,8,12,1,15,16,2,13,0
0,14,17,18,2,15,16,2,12,1
0,13,18,10,3,15,32,4,13,0
0,14,6,13,5,15,18,1,13,1
1,18,17,19,3,15,22,3,18,1
0,12,14,8,1,15,32,1,12,0
0,13,19,26,3,15,26,5,13,0
0,13,16,28,3,15,22,2,13,0
0,11,7,19,2,15,27,4,13,1
0,13,17,15,4,15,28,1,12,0
0,11,23,19,3,15,28,2,12,0
0,10,14,1,3,15,15,4,12,0
0,11,9,11,5,15,26,3,11,0
0,12,3,1,1,15,27,3,12,0
0,13,11,26,0,15,26,1,13,0
0,11,5,26,2,15,20,4,14,1
1,19,6,10,5,15,25,4,17,1
0,14,19,6,2,15,29,5,11,0
0,12,10,19,3,15,32,4,12,1
1,18,16,12,6,15,27,2,19,1
0,15,10,10,2,15,22,4,13,1
0,12,8,11,2,15,16,1,13,1
0,13,10,4,5,15,25,1,12,0
0,11,14,12,1,15,17,5,13,0
0,16,12,6,0,15,23,3,12,0
0,14,6,9,5,15,22,3,12,0
0,14,12,24,3,15,32,1,14,0
1,10,10,3,3,15,15,2,10,0
0,10,23,21,4,15,18,2,12,0
0,14,7,19,1,15,31,1,14,0
0,12,9,1,3,15,21,5,13,0
0,13,22,16,1,15,22,2,13,0
0,13,7,14,6,15,22,2,13,0
0,12,8,28,0,15,18,1,13,0
0,11,3,19,3,15,29,2,12,0
0,9,21,29,4,15,22,2,9,0
0,13,4,4,3,15,22,2,13,0
0,14,17,16,6,15,17,1,12,0
0,11,18,12,6,15,32,2,12,0
0,13,10,5,1,15,27,4,13,0
0,11,10,2,5,15,23,4,12,1
0,13,17,11,4,15,15,2,13,0
0,11,16,15,3,15,29,5,13,0
0,13,19,18,3,15,23,4,12,0
0,13,9,27,1,15,18,3,13,0
0,13,21,12,0,15,27,4,13,0
0,13,15,25,4,15,27,4,13,0
0,12,15,12,5,15,28,3,12,0
0,13,3,21,5,15,26,5,13,0
1,18,10,1,2,15,20,3,23,0
0,12,14,4,1,15,21,3,12,0
0,13,8,11,2,15,27,4,13,0
0,13,3,24,5,15,27,4,13,0
0,14,9,3,4,15,27,5,12,1
0,14,7,3,4,15,32,1,14,0
