failure,error_count,task_hour,task_day_of_month,task_day_of_week,robot_id_length,software_version_length,product_code_type,error_severity,hourly_error_rate
0,14,7,5,1,15,31,1,14,0.0
0,14,16,5,1,15,31,1,14,0.0
0,13,10,6,2,15,15,2,13,0.0
0,9,10,7,3,15,15,2,9,0.0
0,13,10,7,3,15,15,2,13,0.0
0,13,9,8,4,15,15,2,13,0.0
0,13,12,8,4,15,15,2,13,0.0
0,13,19,8,4,15,15,2,13,0.0
0,13,20,8,4,15,15,2,13,0.0
0,13,10,9,5,15,15,2,13,0.0
0,13,12,9,5,15,15,2,13,0.0
0,14,14,11,0,15,31,1,14,0.0
0,13,16,13,2,15,15,2,13,0.0
0,14,8,14,3,15,31,1,14,0.0
0,14,10,14,3,15,31,1,14,0.0
0,14,11,14,3,15,31,1,14,0.0
0,13,11,14,3,15,15,2,13,0.0
0,14,16,15,4,15,31,1,14,0.0
0,14,19,15,4,15,31,1,14,0.0
0,14,21,15,4,15,31,1,14,0.0
0,14,21,15,4,15,31,1,14,0.0
0,14,5,16,5,15,31,1,14,0.0
0,14,3,19,1,15,31,1,14,0.0
0,14,6,19,1,15,31,1,14,0.0
0,14,7,19,1,15,31,1,14,0.0
0,14,16,19,1,15,31,1,14,0.0
0,14,17,20,2,15,31,1,14,18.0
0,13,11,21,3,15,15,2,13,0.0
0,14,7,22,4,15,31,1,14,0.0
0,14,10,22,4,15,31,1,14,0.0
0,14,11,22,4,15,31,1,14,0.0
0,13,11,22,4,15,15,2,13,0.0
0,13,13,22,4,15,15,2,13,0.0
0,14,23,22,4,15,31,1,14,0.0
0,14,7,23,5,15,31,1,14,0.0
0,14,9,24,6,15,31,1,14,0.0
0,14,3,25,0,15,31,1,14,0.0
0,14,6,26,1,15,31,1,14,0.0
0,13,10,26,1,15,15,2,13,0.0
0,13,16,26,1,15,15,2,13,0.0
0,13,18,26,1,15,15,2,13,0.0
0,14,9,27,2,15,31,1,14,0.0
0,14,17,27,2,15,31,1,14,6.0
0,13,10,28,3,15,15,2,13,0.0
0,13,15,28,3,15,15,2,13,0.0
0,13,9,29,4,15,15,2,13,0.0
0,14,21,29,4,15,31,1,14,0.0
0,14,5,30,5,15,31,1,14,0.0
0,14,16,30,5,15,32,1,14,0.0
0,13,9,31,6,15,15,2,13,0.0
0,14,10,31,6,15,31,1,14,0.0
0,13,11,31,6,15,15,2,13,0.0
0,13,15,31,6,15,15,2,13,0.0
0,13,15,31,6,15,15,2,13,0.0
0,14,8,2,1,15,31,1,14,13.0
0,14,8,2,1,15,31,1,14,13.0
0,14,8,2,1,15,32,1,14,13.0
0,14,9,2,1,15,32,1,14,4.0
0,14,9,2,1,15,32,1,14,3.0
0,14,10,2,1,15,32,1,14,14.0
0,13,10,2,1,15,15,2,13,0.0
0,14,20,4,3,15,32,1,14,0.0
0,14,10,9,1,15,31,1,14,0.0
0,13,10,10,2,15,15,2,13,0.0
0,13,10,11,3,15,15,2,13,0.0
0,13,14,11,3,15,15,2,13,0.0
0,13,16,11,3,15,15,2,13,0.0
0,14,20,11,3,15,32,1,14,0.0
0,12,10,13,5,15,15,2,12,0.0
0,14,19,13,5,15,32,1,14,27.0
0,14,17,15,0,15,32,1,14,0.0
0,14,22,15,0,15,32,1,14,0.0
0,13,11,16,1,15,15,2,13,0.0
0,13,11,16,1,15,15,2,13,0.0
0,13,14,16,1,15,15,2,13,0.0
0,14,8,17,2,15,31,1,14,0.0
0,14,8,18,3,15,32,1,14,7.0
0,14,7,19,4,15,32,1,14,14.0
0,14,10,19,4,15,31,1,14,0.0
0,14,15,19,4,15,32,1,14,6.0
0,14,6,21,6,15,32,1,14,0.0
0,14,10,22,0,15,32,1,14,0.0
0,14,21,22,0,15,32,1,14,0.0
0,13,10,23,1,15,15,2,13,0.0
0,13,14,23,1,15,9,5,13,0.0
0,13,16,23,1,15,9,5,13,0.0
0,14,19,23,1,15,32,1,14,0.0
0,14,6,24,2,15,32,1,14,0.0
0,13,14,24,2,15,15,2,13,0.0
0,13,16,24,2,15,15,2,13,0.0
0,13,0,25,3,15,15,2,13,0.0
0,13,1,25,3,15,15,2,13,0.0
0,14,8,26,4,15,31,1,14,5.0
0,13,11,28,6,15,15,2,13,0.0
0,13,12,28,6,15,15,2,13,0.0
0,14,9,29,0,15,32,1,14,0.0
0,14,11,29,0,15,32,1,14,0.0
0,14,8,30,1,15,31,1,14,0.0
0,13,11,30,1,15,15,2,13,0.0
0,14,12,30,1,15,31,1,14,0.0
0,14,7,3,4,15,32,1,14,0.0
0,14,7,4,5,15,32,1,14,0.0
0,14,11,5,6,15,31,1,14,0.0
0,14,1,7,1,15,32,1,14,0.0
0,14,4,7,1,15,32,1,14,0.0
0,13,13,8,2,15,15,2,13,0.0
0,14,8,9,3,15,32,1,14,10.0
0,14,10,9,3,15,32,1,14,3.0
0,14,10,9,3,15,32,1,14,3.0
0,14,7,12,6,15,32,1,14,0.0
0,14,4,14,1,15,32,1,14,0.0
0,14,14,15,2,15,32,1,14,8.0
0,14,9,16,3,15,31,1,14,0.0
0,14,21,16,3,15,32,1,14,4.0
0,13,11,17,4,15,9,5,13,0.0
0,14,8,18,5,15,32,1,14,8.0
0,13,12,18,5,15,9,5,13,0.0
0,14,4,21,1,15,32,1,14,0.0
0,14,8,21,1,15,32,1,14,0.0
0,14,9,21,1,15,32,1,14,3.0
0,13,10,21,1,15,9,5,13,0.0
0,13,10,21,1,15,15,2,13,0.0
0,13,12,21,1,15,15,2,13,0.0
0,14,7,22,2,15,32,1,14,0.0
0,13,13,22,2,15,9,5,13,0.0
0,13,10,23,3,15,15,2,13,0.0
0,14,20,23,3,15,32,1,14,10.0
0,13,10,24,4,15,15,2,13,0.0
0,14,19,24,4,15,32,1,14,15.0
0,14,20,24,4,15,32,1,14,0.0
0,14,9,25,5,15,32,1,14,3.0
0,14,13,25,5,15,32,1,14,19.0
0,14,15,25,5,15,32,1,14,5.0
0,14,12,26,6,15,32,1,14,0.0
0,14,11,27,0,15,32,1,14,0.0
0,14,9,28,1,15,32,1,14,0.0
0,13,10,28,1,15,15,2,13,0.0
0,14,10,28,1,15,32,1,14,32.0
0,14,16,28,1,15,32,1,14,13.0
0,14,16,28,1,15,32,1,14,13.0
0,14,7,30,3,15,32,1,14,35.0
0,14,7,31,4,15,32,1,14,22.0
0,14,7,4,1,15,32,1,14,0.0
0,28,8,4,1,15,32,1,28,15.0
0,14,8,4,1,15,32,1,14,15.0
0,14,8,4,1,15,32,1,14,9.0
0,14,9,4,1,15,32,1,14,14.0
0,14,9,4,1,15,32,1,14,14.0
0,14,10,4,1,15,32,1,14,16.0
0,14,10,4,1,15,32,1,14,3.0
0,14,10,4,1,15,32,1,14,11.0
0,23,10,4,1,15,32,1,23,3.0
0,14,11,4,1,15,32,1,14,3.0
0,14,11,4,1,15,32,1,14,3.0
0,14,12,4,1,15,32,1,14,0.0
0,14,15,4,1,15,32,1,14,19.0
0,14,15,4,1,15,32,1,14,19.0
0,14,17,4,1,15,32,1,14,0.0
0,14,17,4,1,15,32,1,14,0.0
0,14,6,7,4,15,32,1,14,0.0
0,14,8,7,4,15,32,1,14,23.0
0,14,9,7,4,15,32,1,14,0.0
0,13,13,8,5,15,9,5,13,0.0
0,14,4,10,0,15,32,1,14,0.0
0,14,12,11,1,15,32,1,14,0.0
0,13,10,12,2,15,9,5,13,0.0
0,14,10,14,4,15,32,1,14,16.0
0,14,8,15,5,15,32,1,14,9.0
0,14,8,15,5,15,32,1,14,5.0
0,14,8,15,5,15,32,1,14,13.0
0,14,8,15,5,15,32,1,14,4.0
0,14,9,15,5,15,32,1,14,11.0
0,14,9,15,5,15,32,1,14,11.0
0,14,9,15,5,15,32,1,14,0.0
0,13,14,15,5,15,9,5,13,10.0
0,13,14,15,5,15,9,5,13,10.0
0,14,14,19,2,15,32,1,14,0.0
0,14,5,22,5,15,32,1,14,0.0
0,14,5,22,5,15,32,1,14,0.0
0,14,7,22,5,15,32,1,14,0.0
0,14,7,22,5,15,32,1,14,0.0
0,13,13,22,5,15,9,5,13,0.0
0,14,11,25,1,15,32,1,14,3.0
0,14,13,25,1,15,32,1,14,3.0
0,14,13,25,1,15,32,1,14,5.0
0,14,13,25,1,15,32,1,14,3.0
0,14,13,25,1,15,32,1,14,6.0
0,14,13,25,1,15,32,1,14,6.0
0,13,10,26,2,15,9,5,13,0.0
0,13,9,27,3,15,9,5,13,0.0
0,13,9,29,5,15,9,5,13,0.0
0,15,7,31,0,15,32,4,15,0.0
